skillName,simLinked,simSymba
procurement,"Tuple{String,Float32}[(""procurement"", 1.0), (""e-procurement"", 0.846154), (""it procurement"", 0.785714), (""sap procurement"", 0.733333)]","Tuple{String,Float32}[(""procurement"", 1.0), (""procurement"", 1.0), (""procurement"", 1.0), (""procurement"", 1.0), (""procurement"", 1.0)]"
sap,"Tuple{String,Float32}[(""sap"", 1.0), (""asap"", 0.75), (""s1ap"", 0.75), (""sapi"", 0.75), (""scap"", 0.75), (""snap"", 0.75), (""soap"", 0.75), (""swap"", 0.75)]","Tuple{String,Float32}[(""sap"", 1.0)]"
multi-channel marketing,"Tuple{String,Float32}[(""multi-channel marketing"", 1.0), (""multi-level marketing"", 0.782609), (""cross channel marketing"", 0.73913), (""multi-channel retail"", 0.73913)]","Tuple{String,Float32}[]"
general ledger,"Tuple{String,Float32}[(""general ledger"", 1.0), (""general legal"", 0.785714), (""general surgery"", 0.733333), (""general labor"", 0.714286)]","Tuple{String,Float32}[(""general user"", 0.714286), (""general user"", 0.714286), (""general user"", 0.714286), (""general user"", 0.714286), (""general user"", 0.714286)]"
finance,"Tuple{String,Float32}[(""finance"", 1.0), (""finances"", 0.875), (""refinance"", 0.777778), (""finanzen"", 0.75), (""finacle"", 0.714286), (""finale"", 0.714286), (""france"", 0.714286)]","Tuple{String,Float32}[(""finance"", 1.0), (""finance"", 1.0), (""france"", 0.714286)]"
3d,"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
interactive marketing,"Tuple{String,Float32}[(""interactive marketing"", 1.0), (""interactive writing"", 0.809524), (""attraction marketing"", 0.761905), (""cooperative marketing"", 0.761905), (""enterprise marketing"", 0.761905), (""integrated marketing"", 0.761905), (""interactive gaming"", 0.761905), (""interactive learning"", 0.761905), (""interactive training"", 0.761905), (""interactive advertising"", 0.73913), (""international marketing"", 0.73913), (""automotive marketing"", 0.714286), (""information marketing"", 0.714286), (""insurance marketing"", 0.714286), (""interactive art"", 0.714286), (""interactive media"", 0.714286), (""interactive planning"", 0.714286), (""internal marketing"", 0.714286), (""pinterest marketing"", 0.714286), (""cost effective marketing"", 0.708333), (""interactive storytelling"", 0.708333)]","Tuple{String,Float32}[]"
artificial intelligence,"Tuple{String,Float32}[(""artificial intelligence"", 1.0), (""criminal intelligence"", 0.782609), (""political intelligence"", 0.782609), (""financial intelligence"", 0.73913), (""national intelligence"", 0.73913), (""social intelligence"", 0.73913)]","Tuple{String,Float32}[]"
pattern matching,"Tuple{String,Float32}[(""pattern matching"", 1.0), (""pattern making"", 0.8125), (""pattern cutting"", 0.75)]","Tuple{String,Float32}[]"
pattern recognition,"Tuple{String,Float32}[(""pattern recognition"", 1.0), (""face recognition"", 0.736842), (""gesture recognition"", 0.736842), (""hazard recognition"", 0.736842), (""talent recognition"", 0.736842)]","Tuple{String,Float32}[]"
laravel4,"Tuple{String,Float32}[(""laravel"", 0.875)]","Tuple{String,Float32}[(""laravel"", 0.875)]"
product requirements,"Tuple{String,Float32}[(""product requirements"", 1.0), (""contract requirements"", 0.714286)]","Tuple{String,Float32}[]"
european union,"Tuple{String,Float32}[(""european union"", 1.0)]","Tuple{String,Float32}[]"
policy analysis,"Tuple{String,Float32}[(""policy analysis"", 1.0), (""conflict analysis"", 0.764706), (""product analysis"", 0.75), (""project analysis"", 0.75), (""quality analysis"", 0.75), (""utility analysis"", 0.75), (""color analysis"", 0.733333), (""link analysis"", 0.733333), (""motion analysis"", 0.733333), (""music analysis"", 0.733333), (""oil analysis"", 0.733333), (""p/l analysis"", 0.733333), (""p&l analysis"", 0.733333), (""plan analysis"", 0.733333), (""power analysis"", 0.733333), (""profit analysis"", 0.733333), (""source analysis"", 0.733333), (""capacity analysis"", 0.705882), (""protocol analysis"", 0.705882)]","Tuple{String,Float32}[(""p&l analysis"", 0.733333)]"
energy policy,"Tuple{String,Float32}[(""energy policy"", 1.0)]","Tuple{String,Float32}[]"
quantitative research,"Tuple{String,Float32}[(""quantitative research"", 1.0), (""qualitative research"", 0.904762), (""quantitative genetics"", 0.761905), (""investigative research"", 0.727273), (""quantitative finance"", 0.714286), (""quantitative risk"", 0.714286)]","Tuple{String,Float32}[(""quantitative research"", 1.0), (""qualitative research"", 0.904762)]"
reactjs,"Tuple{String,Float32}[(""react.js"", 0.875), (""react"", 0.714286), (""reactor"", 0.714286)]","Tuple{String,Float32}[(""react"", 0.714286)]"
javascript libraries,"Tuple{String,Float32}[(""javascript libraries"", 1.0)]","Tuple{String,Float32}[]"
self-motivated team player/builder,"Tuple{String,Float32}[(""self-motivated team player/builder"", 1.0), (""self-motivated team player"", 0.764706)]","Tuple{String,Float32}[]"
computer-savvy,"Tuple{String,Float32}[(""computer-savvy"", 1.0), (""computer sales"", 0.714286)]","Tuple{String,Float32}[]"
energetic leader,"Tuple{String,Float32}[(""energetic leader"", 1.0)]","Tuple{String,Float32}[]"
help desk support,"Tuple{String,Float32}[(""help desk support"", 1.0)]","Tuple{String,Float32}[]"
sales presentations,"Tuple{String,Float32}[(""sales presentations"", 1.0), (""sales representatives"", 0.809524), (""case presentation"", 0.789474), (""web presentations"", 0.789474), (""c level presentations"", 0.761905), (""c-level presentations"", 0.761905), (""sales presentation skills"", 0.76), (""making presentations"", 0.75), (""poster presentations"", 0.75), (""visual presentations"", 0.75), (""strategic presentations"", 0.73913), (""board presentations"", 0.736842), (""data presentation"", 0.736842), (""group presentations"", 0.736842), (""representations"", 0.736842), (""sales retention"", 0.736842), (""customer presentations"", 0.727273), (""investor presentations"", 0.727273), (""c-suite presentations"", 0.714286), (""graphic presentations"", 0.714286), (""seller representation"", 0.714286), (""seminar presentations"", 0.714286), (""written presentations"", 0.714286), (""trade show presentations"", 0.708333), (""c-level sales presentations"", 0.703704)]","Tuple{String,Float32}[(""data presentation"", 0.736842)]"
business-to-business (b2b),"Tuple{String,Float32}[(""business-to-business (b2b)"", 1.0)]","Tuple{String,Float32}[]"
motion graphic design,"Tuple{String,Float32}[(""motion graphic design"", 1.0), (""motion graphics"", 0.714286)]","Tuple{String,Float32}[]"
sccm,"Tuple{String,Float32}[(""ccm"", 0.75), (""sccp"", 0.75), (""sccs"", 0.75), (""scem"", 0.75), (""sclm"", 0.75), (""scom"", 0.75), (""scrm"", 0.75), (""scsm"", 0.75)]","Tuple{String,Float32}[]"
sms,"Tuple{String,Float32}[(""sms"", 1.0), (""csms"", 0.75), (""fsms"", 0.75), (""hsms"", 0.75), (""sams"", 0.75), (""sbms"", 0.75), (""sdms"", 0.75), (""sims"", 0.75), (""smds"", 0.75), (""smps"", 0.75)]","Tuple{String,Float32}[]"
scom,"Tuple{String,Float32}[(""scom"", 1.0), (""scorm"", 0.8), (""acom"", 0.75), (""com"", 0.75), (""dcom"", 0.75), (""ecom"", 0.75), (""scem"", 0.75), (""sclm"", 0.75), (""sco"", 0.75), (""scor"", 0.75), (""scrm"", 0.75), (""scsm"", 0.75), (""snom"", 0.75), (""xcom"", 0.75)]","Tuple{String,Float32}[]"
twitter,"Tuple{String,Float32}[(""twitter"", 1.0), (""glitter"", 0.714286), (""jitter"", 0.714286), (""tkinter"", 0.714286), (""twisted"", 0.714286), (""winter"", 0.714286)]","Tuple{String,Float32}[(""twitter"", 1.0)]"
domain name system (dns),"Tuple{String,Float32}[(""domain name system (dns)"", 1.0)]","Tuple{String,Float32}[]"
failure mode and effects analysis (fmea),"Tuple{String,Float32}[(""failure mode and effects analysis (fmea)"", 1.0), (""design failure mode and effect analysis (dfmea)"", 0.808511)]","Tuple{String,Float32}[]"
value stream mapping,"Tuple{String,Float32}[(""value stream mapping"", 1.0), (""value stream maps"", 0.8)]","Tuple{String,Float32}[]"
advanced product quality planning (apqp),"Tuple{String,Float32}[(""advanced product quality planning (apqp)"", 1.0)]","Tuple{String,Float32}[]"
desarrollo de software,"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
information architecture,"Tuple{String,Float32}[(""information architecture"", 1.0), (""integration architecture"", 0.833333), (""application architecture"", 0.75), (""domain architecture"", 0.75), (""interactive architecture"", 0.75), (""interior architecture"", 0.75), (""solution architecture"", 0.75), (""conversion architecture"", 0.708333), (""information protection"", 0.708333), (""interface architecture"", 0.708333), (""operational architecture"", 0.708333)]","Tuple{String,Float32}[]"
beacon technology,"Tuple{String,Float32}[(""barcode technology"", 0.777778), (""blade technology"", 0.764706), (""clean technology"", 0.764706), (""space technology"", 0.764706), (""learning technology"", 0.736842), (""banking technology"", 0.722222), (""imaging technology"", 0.722222), (""medical technology"", 0.722222), (""network technology"", 0.722222), (""trading technology"", 0.722222), (""audio technology"", 0.705882), (""biotechnology"", 0.705882), (""core technology"", 0.705882), (""dental technology"", 0.705882), (""event technology"", 0.705882), (""food technology"", 0.705882), (""game technology"", 0.705882), (""gaming technology"", 0.705882), (""green technology"", 0.705882), (""legal technology"", 0.705882), (""media technology"", 0.705882), (""nanotechnology"", 0.705882), (""neurotechnology"", 0.705882), (""retail technology"", 0.705882), (""server technology"", 0.705882), (""speech technology"", 0.705882), (""travel technology"", 0.705882), (""vacuum technology"", 0.705882), (""video technology"", 0.705882), (""voice technology"", 0.705882)]","Tuple{String,Float32}[(""biotechnology"", 0.705882)]"
wearables,"Tuple{String,Float32}[(""wearables"", 1.0)]","Tuple{String,Float32}[]"
direct marketing,"Tuple{String,Float32}[(""direct marketing"", 1.0), (""street marketing"", 0.8125), (""art marketing"", 0.75), (""direct banking"", 0.75), (""drip marketing"", 0.75), (""event marketing"", 0.75), (""field marketing"", 0.75), (""green marketing"", 0.75), (""print marketing"", 0.75), (""target marketing"", 0.75), (""test marketing"", 0.75), (""text marketing"", 0.75), (""video marketing"", 0.75), (""viral marketing"", 0.75), (""wine marketing"", 0.75), (""diversity marketing"", 0.736842), (""pinterest marketing"", 0.736842), (""wireless marketing"", 0.722222), (""content marketing"", 0.705882), (""digital marketing"", 0.705882), (""direct recruiting"", 0.705882), (""display marketing"", 0.705882), (""product marketing"", 0.705882), (""student marketing"", 0.705882)]","Tuple{String,Float32}[]"
customer retention,"Tuple{String,Float32}[(""customer retention"", 1.0), (""customer relations"", 0.777778), (""customer presentations"", 0.772727), (""customer interaction"", 0.75), (""customer orientation"", 0.75), (""customer education"", 0.722222), (""customer events"", 0.722222), (""customer reporting"", 0.722222), (""home retention"", 0.722222), (""customer interactions"", 0.714286), (""customer negotiations"", 0.714286)]","Tuple{String,Float32}[(""customer registration"", 0.761905)]"
competitive analysis,"Tuple{String,Float32}[(""competitive analysis"", 1.0), (""competetive analysis"", 0.95), (""comparative analysis"", 0.85), (""competitive cost analysis"", 0.8), (""competency analysis"", 0.75), (""compliance analysis"", 0.75), (""computational analysis"", 0.727273)]","Tuple{String,Float32}[]"
erwin,"Tuple{String,Float32}[(""erwin"", 1.0), (""er win"", 0.833333)]","Tuple{String,Float32}[]"
oracle pl/sql development,"Tuple{String,Float32}[(""oracle pl/sql development"", 1.0), (""oracle sql developer"", 0.76)]","Tuple{String,Float32}[]"
plant physiology,"Tuple{String,Float32}[(""plant physiology"", 1.0), (""human physiology"", 0.75), (""pathophysiology"", 0.75), (""plant biology"", 0.75), (""plant pathology"", 0.75), (""electrophysiology"", 0.705882)]","Tuple{String,Float32}[]"
protein chemistry,"Tuple{String,Float32}[(""protein chemistry"", 1.0), (""process chemistry"", 0.823529), (""green chemistry"", 0.764706), (""organic chemistry"", 0.705882), (""photochemistry"", 0.705882), (""soil chemistry"", 0.705882), (""water chemistry"", 0.705882)]","Tuple{String,Float32}[]"
microscopy,"Tuple{String,Float32}[(""microscopy"", 1.0), (""microscopes"", 0.818182), (""microscopic"", 0.818182), (""macroscope"", 0.8)]","Tuple{String,Float32}[]"
loss mitigation,"Tuple{String,Float32}[(""loss mitigation"", 1.0), (""ddos mitigation"", 0.8), (""wind mitigation"", 0.733333)]","Tuple{String,Float32}[]"
loan servicing,"Tuple{String,Float32}[(""loan servicing"", 1.0), (""loan pricing"", 0.785714), (""client servicing"", 0.75), (""account servicing"", 0.705882)]","Tuple{String,Float32}[]"
mortgage lending,"Tuple{String,Float32}[(""mortgage lending"", 1.0), (""mortgage banking"", 0.8125), (""mortgage servicing"", 0.722222), (""corporate lending"", 0.705882)]","Tuple{String,Float32}[]"
python (programming language),"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
c/c# (programming language),"Tuple{String,Float32}[(""programming languages"", 0.740741)]","Tuple{String,Float32}[(""programming languages"", 0.740741)]"
matlab (programming language),"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
