skillName,simLinked,simSymba
web development,"Tuple{String,Float32}[(""web development"", 1.0), (""new development"", 0.866667), (""rep development"", 0.866667), (""wpf development"", 0.866667), (""power development"", 0.823529), (""club development"", 0.8125), (""deal development"", 0.8125), (""lead development"", 0.8125), (""menu development"", 0.8125), (""new developments"", 0.8125), (""peer development"", 0.8125), (""spec development"", 0.8125), (""team development"", 0.8125), (""test development"", 0.8125), (""wash development"", 0.8125), (""wiki development"", 0.8125), (""ad development"", 0.8), (""api development"", 0.8), (""bom development"", 0.8), (""cmc development"", 0.8), (""gui development"", 0.8), (""hw development"", 0.8), (""ios development"", 0.8), (""ip development"", 0.8), (""it development"", 0.8), (""jsp development"", 0.8), (""kol development"", 0.8), (""p&l development"", 0.8), (""pdk development"", 0.8), (""php development"", 0.8), (""pmo development"", 0.8), (""pop development"", 0.8), (""redevelopment"", 0.8), (""rfq development"", 0.8), (""roi development"", 0.8), (""rtl development"", 0.8), (""sap development"", 0.8), (""sar development"", 0.8), (""sdk development"", 0.8), (""sme development"", 0.8), (""sop development"", 0.8), (""web developers"", 0.8), (""web 2.0 development"", 0.789474), (""webinar development"", 0.789474), (""website development"", 0.789474), (""member development"", 0.777778), (""agent development"", 0.764706), (""asset development"", 0.764706), (""field development"", 0.764706), (""green development"", 0.764706), (""ideas development"", 0.764706), (""media development"", 0.764706), (""model development"", 0.764706), (""offer development"", 0.764706), (""theme development"", 0.764706), (""venue development"", 0.764706), (""video development"", 0.764706), (""blog development"", 0.75), (""copy development"", 0.75), (""core development"", 0.75), (""drug development"", 0.75), (""flow development"", 0.75), (""form development"", 0.75), (""fund development"", 0.75), (""game development"", 0.75), (""goal development"", 0.75), (""ipad development"", 0.75), (""j2me development"", 0.75), (""land development"", 0.75), (""link development"", 0.75), (""list development"", 0.75), (""logo development"", 0.75), (""look development"", 0.75), (""name development"", 0.75), (""neurodevelopment"", 0.75), (""p&id development"", 0.75), (""part development"", 0.75), (""port development"", 0.75), (""self-development"", 0.75), (""site development"", 0.75), (""tour development"", 0.75), (""trim development"", 0.75), (""women's development"", 0.736842), (""co-development"", 0.733333), (""pre-development"", 0.733333), (""agency development"", 0.722222), (""agenda development"", 0.722222), (""budget development"", 0.722222), (""c#.net development"", 0.722222), (""career development"", 0.722222), (""client development"", 0.722222), (""device development"", 0.722222), (""fabric development"", 0.722222), (""global development"", 0.722222), (""growth development"", 0.722222), (""market development"", 0.722222), (""method development"", 0.722222), (""metric development"", 0.722222), (""patent development"", 0.722222), (""people development"", 0.722222), (""player development"", 0.722222), (""recipe development"", 0.722222), (""remote development"", 0.722222), (""report development"", 0.722222), (""resort development"", 0.722222), (""series development"", 0.722222), (""system development"", 0.722222), (""talent development"", 0.722222), (""target development"", 0.722222), (""tender development"", 0.722222), (""agile web development"", 0.714286), (""adult development"", 0.705882), (""assay development"", 0.705882), (""board development"", 0.705882), (""brand development"", 0.705882), (""child development"", 0.705882), (""cloud development"", 0.705882), (""color development"", 0.705882), (""donor development"", 0.705882), (""early development"", 0.705882), (""force development"", 0.705882), (""forms development"", 0.705882), (""group development"", 0.705882), (""human development"", 0.705882), (""image development"", 0.705882), (""joint development"", 0.705882), (""kiosk development"", 0.705882), (""linux development"", 0.705882), (""local development"", 0.705882), (""music development"", 0.705882), (""pitch development"", 0.705882), (""print development"", 0.705882), (""quant development"", 0.705882), (""range development"", 0.705882), (""route development"", 0.705882), (""rural development"", 0.705882), (""staff development"", 0.705882), (""style development"", 0.705882), (""trade development"", 0.705882), (""youth development"", 0.705882)]","Tuple{String,Float32}[(""development"", 0.733333), (""development"", 0.733333), (""driver development"", 0.722222), (""agile development"", 0.705882)]"
html5,"Tuple{String,Float32}[(""html5"", 1.0), (""html"", 0.8), (""htmlb"", 0.8)]","Tuple{String,Float32}[(""html"", 0.8)]"
core java,"Tuple{String,Float32}[(""core java"", 1.0), (""core-java"", 0.888889), (""corejava"", 0.888889), (""core data"", 0.777778)]","Tuple{String,Float32}[]"
design patterns,"Tuple{String,Float32}[(""design patterns"", 1.0), (""design patents"", 0.8)]","Tuple{String,Float32}[]"
jsp,"Tuple{String,Float32}[]","Tuple{String,Float32}[]"
servlets,"Tuple{String,Float32}[(""servlets"", 1.0), (""servers"", 0.75)]","Tuple{String,Float32}[(""servlet"", 0.875)]"
hibernate,"Tuple{String,Float32}[(""hibernate"", 1.0), (""nhibernate"", 0.9), (""liberate"", 0.777778)]","Tuple{String,Float32}[(""hibernate"", 1.0)]"
it strategy,"Tuple{String,Float32}[(""it strategy"", 1.0), (""bid strategy"", 0.833333), (""hr strategy"", 0.818182), (""test strategy"", 0.769231), (""l&d strategy"", 0.75), (""web strategy"", 0.75), (""e-strategy"", 0.727273), (""strategy"", 0.727273), (""email strategy"", 0.714286), (""media strategy"", 0.714286)]","Tuple{String,Float32}[(""strategy"", 0.727273), (""strategy"", 0.727273), (""strategy"", 0.727273), (""strategy"", 0.727273)]"
struts,"Tuple{String,Float32}[(""struts"", 1.0), (""structs"", 0.857143), (""struts2"", 0.857143), (""strut"", 0.833333), (""stuts"", 0.833333), (""stratus"", 0.714286), (""streets"", 0.714286)]","Tuple{String,Float32}[]"
java enterprise edition,"Tuple{String,Float32}[(""java enterprise edition"", 1.0)]","Tuple{String,Float32}[]"
e-commerce,"Tuple{String,Float32}[(""e-commerce"", 1.0), (""e commerce"", 0.9), (""ecommerce"", 0.9), (""commerce"", 0.8), (""oscommerce"", 0.8), (""web commerce"", 0.75), (""nopcommerce"", 0.727273), (""woocommerce"", 0.727273), (""atg e-commerce"", 0.714286), (""b2c e-commerce"", 0.714286), (""e-commerce seo"", 0.714286)]","Tuple{String,Float32}[(""e-commerce"", 1.0), (""woocommerce"", 0.727273)]"
google analytics,"Tuple{String,Float32}[(""google analytics"", 1.0), (""mobile analytics"", 0.8125), (""adobe analytics"", 0.75), (""mortgage analytics"", 0.722222), (""loyalty analytics"", 0.705882)]","Tuple{String,Float32}[]"
