skillName,simSymba,bestSimSymba
analysis,"Tuple{String,Float32}[(""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analysis"", 1.0), (""analytics"", 0.777778), (""analytics"", 0.777778), (""analytics"", 0.777778), (""analytics"", 0.777778)]",1
civil litigation,"Tuple{String,Float32}[(""civil litigation"", 1.0)]",1
responsive web design,"Tuple{String,Float32}[(""responsive web design"", 1.0)]",1
human computer interaction,"Tuple{String,Float32}[(""human-computer interaction"", 0.961538)]",0.961538
final cut pro,"Tuple{String,Float32}[(""final cut pro"", 1.0)]",1
press releases,"Tuple{String,Float32}[(""press release"", 0.928571)]",0.928571
sitecore,"Tuple{String,Float32}[(""sitecore"", 1.0)]",1
sql server,"Tuple{String,Float32}[(""sql server"", 1.0)]",1
coordination,"Tuple{String,Float32}[(""coordination"", 1.0)]",1
elixir,"Tuple{String,Float32}[(""elixir"", 1.0)]",1
javascript,"Tuple{String,Float32}[(""javascript"", 1.0)]",1
gradle,"Tuple{String,Float32}[(""gradle"", 1.0)]",1
insurance,"Tuple{String,Float32}[(""insurance"", 1.0), (""reinsurance"", 0.818182)]",1
team management,"Tuple{String,Float32}[(""team management"", 1.0), (""task management"", 0.8), (""task management"", 0.8), (""event management"", 0.75), (""float management"", 0.75), (""page management"", 0.733333), (""risk management"", 0.733333), (""done management"", 0.733333), (""content management"", 0.722222), (""change management"", 0.705882)]",1
sql server integration services (ssis),"Tuple{String,Float32}[(""sql server integration services (ssis)"", 1.0), (""sql server reporting services (ssrs)"", 0.763158)]",1
financial analysis,"Tuple{String,Float32}[(""financial analysis"", 1.0)]",1
