"_id",parentID,text
58fbe4af0de1ee000f1c6de5,58fbe3b60de1ee000f1c6dbe,ECMAScript 6 (ES6)
58fbe4b30de1ee000f1c6de6,58fbe3b60de1ee000f1c6dbe,Typescript
58fbe4b60de1ee000f1c6de7,58fbe3b60de1ee000f1c6dbe,Java
58fbe4bb0de1ee000f1c6de8,58fbe3b60de1ee000f1c6dbe,C++
58fbe4bf0de1ee000f1c6de9,58fbe3b60de1ee000f1c6dbe,Python
58fbe4c20de1ee000f1c6dea,58fbe3b60de1ee000f1c6dbe,Ruby
58fbe4ca0de1ee000f1c6deb,58fbe3ba0de1ee000f1c6dbf,Unit Testing
58fbe4ce0de1ee000f1c6dec,58fbe3ba0de1ee000f1c6dbf,Integration Testing
58fbe4d20de1ee000f1c6ded,58fbe3ba0de1ee000f1c6dbf,Test Driven Development (TDD)
5902072dc6737e000fbdd768,58fbd1bf0de1ee000f1c6d2d,Survey
59020799c6737e000fbdd769,58fbd1bf0de1ee000f1c6d2d,Internet Research
59020c4fc6737e000fbdd76a,58fbd76b0de1ee000f1c6d81,Location Booking
593015ae8c9e7200107363b0,592edb010a29892b00d49a9e,Team Management
5930160c8c9e7200107363b1,59775070aee015000f1409a1,2-10 Members
5930161e8c9e7200107363b2,59775070aee015000f1409a1,11-30 Members
593016288c9e7200107363b3,59775070aee015000f1409a1,31-100 Members
5930163c8c9e7200107363b4,59775070aee015000f1409a1,101-500 Members
593016458c9e7200107363b5,59775070aee015000f1409a1,501-1000 Members
5930164a8c9e7200107363b6,59775070aee015000f1409a1,1000+ Members
593017578c9e7200107363b8,,Finance
593017838c9e7200107363b9,593017578c9e7200107363b8,Budgets
593018828c9e7200107363bb,5a142f1411015b000e01fc59,Currency Amount Managed (In Dollars)
5930189d8c9e7200107363bc,593018828c9e7200107363bb,$1-100
593018a78c9e7200107363bd,593018828c9e7200107363bb,$101-1000
593018b98c9e7200107363be,593018828c9e7200107363bb,"$1,001-10,000"
593018c58c9e7200107363bf,593018828c9e7200107363bb,"$10,001-50,000"
593018ce8c9e7200107363c0,593018828c9e7200107363bb,"$50,001-100,000"
593018db8c9e7200107363c1,593018828c9e7200107363bb,"$100,001-250,000"
593018e48c9e7200107363c2,593018828c9e7200107363bb,"$250,001-500,000"
593018f98c9e7200107363c3,593018828c9e7200107363bb,"$500,001-1million"
5930190c8c9e7200107363c4,593018828c9e7200107363bb,$1.1million-5million
593019178c9e7200107363c5,593018828c9e7200107363bb,$5.1million-10million
5930191f8c9e7200107363c6,593018828c9e7200107363bb,$10.1million-50million
593019278c9e7200107363c7,593018828c9e7200107363bb,$50.1million-100million
593019408c9e7200107363c8,593018828c9e7200107363bb,$100 million+
593019808c9e7200107363c9,593017838c9e7200107363b9,Forecasting
5930199b8c9e7200107363ca,593017838c9e7200107363b9,Spending Plans
593019f68c9e7200107363cb,593017578c9e7200107363b8,Revenue Management
59301a098c9e7200107363cc,593019f68c9e7200107363cb,"1-1,000"
59301a1f8c9e7200107363cd,593019f68c9e7200107363cb,"1,001-5,000"
59301a278c9e7200107363ce,593019f68c9e7200107363cb,"5,001-10,000"
59301aa68c9e7200107363d2,593019f68c9e7200107363cb,"10,001-50,000"
59301ab68c9e7200107363d3,593019f68c9e7200107363cb,"50,001-100,000"
59301aca8c9e7200107363d5,593019f68c9e7200107363cb,"100,001-250,000"
59301ad18c9e7200107363d6,593019f68c9e7200107363cb,250K-500K
59301adc8c9e7200107363d7,593019f68c9e7200107363cb,501K-1M
59301ae78c9e7200107363d8,593019f68c9e7200107363cb,1.1M-10M
59301aec8c9e7200107363d9,593019f68c9e7200107363cb,10M-50M
59301af18c9e7200107363da,593019f68c9e7200107363cb,51M-100M
59301afa8c9e7200107363db,593019f68c9e7200107363cb,101M-250M
59301b008c9e7200107363dc,593019f68c9e7200107363cb,251M-500M
59301b0a8c9e7200107363dd,593019f68c9e7200107363cb,501M-1B
59301b9a8c9e7200107363de,592edb010a29892b00d49a9e,Analysis
59301c488c9e7200107363e1,58fbd6d90de1ee000f1c6d66,Customer Conversion
59301c9a8c9e7200107363e3,5a142c2911015b000e01fc43,Compliance
59301cc68c9e7200107363e4,59301d6f8c9e7200107363e6,Supply Chain Sourcing
59301d038c9e7200107363e5,58fbd7510de1ee000f1c6d7a,Coding
59301d6f8c9e7200107363e6,58fbd7510de1ee000f1c6d7a,Supply Management
59391eb88edd1b000f4a47e5,593924f68edd1b000f4a47ee,CPM (Cost Per Metric)
59391ed08edd1b000f4a47e6,593924f68edd1b000f4a47ee,PPC (Pay Per Click)
593920d78edd1b000f4a47ea,58fbcdd33b0fc40b7974b455,Analysis
593921438edd1b000f4a47eb,593925758edd1b000f4a47ef,Analytics
593924f68edd1b000f4a47ee,5abab6e112c4c12c1aeef6b5,Advertising
593925758edd1b000f4a47ef,5abab6e112c4c12c1aeef6b5,Google
5939269c8edd1b000f4a47f1,593925758edd1b000f4a47ef,Paid Ads
593927a18edd1b000f4a47f3,5abab6e112c4c12c1aeef6b5,E-mail
593927be8edd1b000f4a47f4,593927a18edd1b000f4a47f3,Automation
593927d68edd1b000f4a47f5,593927a18edd1b000f4a47f3,Newsletter Creation
5939288c8edd1b000f4a47f6,58fbd1bf0de1ee000f1c6d2d,Persona Research & Creation
593928830937c80e2139d15d,,Software
593928ad8edd1b000f4a47f7,593920d78edd1b000f4a47ea,A/B Testing
593928c68edd1b000f4a47f8,593920d78edd1b000f4a47ea,Data Collection
593928dd8edd1b000f4a47f9,593920d78edd1b000f4a47ea,Data Organisation
593928e18edd1b000f4a47fa,593920d78edd1b000f4a47ea,Data Presentation
593929338edd1b000f4a47fc,5abbca1822f83d001378427e,Hootsuite
5939293c8edd1b000f4a47fd,5abbca1822f83d001378427e,Buffer
59392af78edd1b000f4a4800,5abab6e112c4c12c1aeef6b5,Content
59392b348edd1b000f4a4801,59773f73aee015000f140987,Meme Creation
59392b488edd1b000f4a4802,5abbca126a4200000c2d536b,Image Procurement
59392b4d8edd1b000f4a4803,5abbca126a4200000c2d536b,Image Selection
59392b5a8edd1b000f4a4804,5abbca126a4200000c2d536b,Copy/Text Creation
59392b738edd1b000f4a4805,59392c308edd1b000f4a4809,Writing
59392bb48edd1b000f4a4806,59392c308edd1b000f4a4809,Page Management
59392bc18edd1b000f4a4807,59392c308edd1b000f4a4809,Contributor Procurement
59392bc68edd1b000f4a4808,59392c308edd1b000f4a4809,Contributor Management
59392c308edd1b000f4a4809,5abab6e112c4c12c1aeef6b5,Blog
59392cda8edd1b000f4a480a,593924f68edd1b000f4a47ee,Retargeting
59392cf18edd1b000f4a480b,593924f68edd1b000f4a47ee,CPL (Cost Per Lead)
593a73c920a5d87b382da3be,,Sector
593e955d00b1c5000e43beaf,5943b74600b1c5000e43bedc,Capsule
593e958100b1c5000e43beb0,597af7edaee015000f140a06,WordPress
5943aea800b1c5000e43bec0,58fbd6d90de1ee000f1c6d66,Business Development
5943af5300b1c5000e43bec2,58fbd6d90de1ee000f1c6d66,Telephone Sales
5943afff00b1c5000e43bec3,5943aea800b1c5000e43bec0,Cold Call-Physical
5943b00600b1c5000e43bec4,5943aea800b1c5000e43bec0,Up-sell
5943b04800b1c5000e43bec5,5943aea800b1c5000e43bec0,Repeat Customer
5943b05900b1c5000e43bec6,5943aea800b1c5000e43bec0,Customer Growth
5943b09400b1c5000e43bec7,5943b0a000b1c5000e43bec8,Creation
5943b0a000b1c5000e43bec8,592edb010a29892b00d49a9e,Strategy
5943b0ad00b1c5000e43bec9,5943b0a000b1c5000e43bec8,Implementation
5943b57200b1c5000e43becb,58fbd5c13b0fc40b7974b457,Organisational Skills
5943b58500b1c5000e43becc,5943b57200b1c5000e43becb,Multi-Tasker
5943b59400b1c5000e43becd,5943b5c700b1c5000e43bece,To-Do Lists
5943b5c700b1c5000e43bece,5943b57200b1c5000e43becb,Individual Process Management Tools
5943b5fc00b1c5000e43becf,5cbe5e9b1b2f4100118acc39,Scrum Software
5943b63800b1c5000e43bed0,5943b5fc00b1c5000e43becf,Trello
